bank_ref,amount,txn_at,terminal_id,bank_code
BCA20260401001,500000.00,2026-04-01 10:31:12,TERM-001,BCA
BCA20260401002,149950.00,2026-04-01 11:06:45,TERM-001,BCA
BRI20260401001,750000.00,2026-04-01 14:21:30,TERM-002,BRI
BCA20260401003,300000.00,2026-04-01 15:46:20,TERM-001,BCA
MDR20260401001,1200000.00,2026-04-01 16:11:10,TERM-003,MANDIRI
BRI20260401002,250000.00,2026-04-01 17:31:00,TERM-002,BRI
BCA20260401004,450000.00,2026-04-01 09:16:30,TERM-001,BCA
BRI20260401003,599900.00,2026-04-01 13:41:15,TERM-002,BRI
BCA20260401005,999000.00,2026-04-01 20:00:00,TERM-001,BCA
MDR20260401002,175000.00,2026-04-01 12:01:00,TERM-003,MANDIRI
